nodes,nTree,accuracy,logloss
50,1,0.666666666666667,11.5130439238488
51,1,0.666666666666667,11.5130439238488
52,1,0.666666666666667,11.5130439238488
53,1,0.666666666666667,11.5130439238488
54,1,0.666666666666667,11.5130439238488
55,1,0.666666666666667,11.5130439238488
56,1,0.666666666666667,11.5130439238488
57,1,0.555555555555556,15.3507745896644
58,1,0.555555555555556,15.3507745896644
59,1,0.555555555555556,15.3507745896644
60,1,0.555555555555556,15.3507745896644
61,1,0.555555555555556,15.3507745896644
62,1,0.555555555555556,15.3507745896644
63,1,0.555555555555556,15.3507745896644
64,1,0.555555555555556,15.3507745896644
65,1,0.555555555555556,15.3507745896644
66,1,0.555555555555556,15.3507745896644
67,1,0.555555555555556,15.3507745896644
68,1,0.555555555555556,15.3507745896644
69,1,0.555555555555556,15.3507745896644
70,1,0.555555555555556,15.3507745896644
71,1,0.555555555555556,15.3507745896644
72,1,0.555555555555556,15.3507745896644
73,1,0.555555555555556,15.3507745896644
74,1,0.555555555555556,15.3507745896644
75,1,0.555555555555556,15.3507745896644
76,1,0.555555555555556,15.3507745896644
77,1,0.555555555555556,15.3507745896644
78,1,0.555555555555556,15.3507745896644
79,1,0.555555555555556,15.3507745896644
80,1,0.555555555555556,15.3507745896644
81,1,0.555555555555556,15.3507745896644
82,1,0.555555555555556,15.3507745896644
83,1,0.555555555555556,15.3507745896644
84,1,0.555555555555556,15.3507745896644
85,1,0.555555555555556,15.3507745896644
86,1,0.555555555555556,15.3507745896644
87,1,0.555555555555556,15.3507745896644
88,1,0.555555555555556,15.3507745896644
89,1,0.555555555555556,15.3507745896644
90,1,0.555555555555556,15.3507745896644
91,1,0.555555555555556,15.3507745896644
92,1,0.555555555555556,15.3507745896644
93,1,0.555555555555556,15.3507745896644
94,1,0.555555555555556,15.3507745896644
95,1,0.555555555555556,15.3507745896644
96,1,0.555555555555556,15.3507745896644
97,1,0.555555555555556,15.3507745896644
98,1,0.555555555555556,15.3507745896644
99,1,0.555555555555556,15.3507745896644
100,1,0.555555555555556,15.3507745896644
101,1,0.555555555555556,15.3507745896644
102,1,0.555555555555556,15.3507745896644
103,1,0.555555555555556,15.3507745896644
104,1,0.555555555555556,15.3507745896644
105,1,0.555555555555556,15.3507745896644
106,1,0.555555555555556,15.3507745896644
107,1,0.555555555555556,15.3507745896644
108,1,0.555555555555556,15.3507745896644
109,1,0.555555555555556,15.3507745896644
110,1,0.555555555555556,15.3507745896644
111,1,0.555555555555556,15.3507745896644
112,1,0.555555555555556,15.3507745896644
113,1,0.555555555555556,15.3507745896644
114,1,0.555555555555556,15.3507745896644
115,1,0.555555555555556,15.3507745896644
116,1,0.555555555555556,15.3507745896644
117,1,0.555555555555556,15.3507745896644
118,1,0.555555555555556,15.3507745896644
119,1,0.555555555555556,15.3507745896644
120,1,0.555555555555556,15.3507745896644
121,1,0.555555555555556,15.3507745896644
122,1,0.555555555555556,15.3507745896644
123,1,0.555555555555556,15.3507745896644
124,1,0.555555555555556,15.3507745896644
125,1,0.555555555555556,15.3507745896644
126,1,0.555555555555556,15.3507745896644
127,1,0.555555555555556,15.3507745896644
128,1,0.555555555555556,15.3507745896644
129,1,0.555555555555556,15.3507745896644
130,1,0.555555555555556,15.3507745896644
131,1,0.555555555555556,15.3507745896644
132,1,0.555555555555556,15.3507745896644
133,1,0.555555555555556,15.3507745896644
134,1,0.555555555555556,15.3507745896644
135,1,0.555555555555556,15.3507745896644
136,1,0.555555555555556,15.3507745896644
137,1,0.555555555555556,15.3507745896644
138,1,0.555555555555556,15.3507745896644
139,1,0.555555555555556,15.3507745896644
140,1,0.555555555555556,15.3507745896644
141,1,0.555555555555556,15.3507745896644
142,1,0.555555555555556,15.3507745896644
143,1,0.555555555555556,15.3507745896644
144,1,0.555555555555556,15.3507745896644
145,1,0.555555555555556,15.3507745896644
146,1,0.555555555555556,15.3507745896644
147,1,0.555555555555556,15.3507745896644
148,1,0.555555555555556,15.3507745896644
149,1,0.555555555555556,15.3507745896644
150,1,0.555555555555556,15.3507745896644
151,1,0.555555555555556,15.3507745896644
152,1,0.555555555555556,15.3507745896644
153,1,0.555555555555556,15.3507745896644
154,1,0.555555555555556,15.3507745896644
155,1,0.555555555555556,15.3507745896644
156,1,0.555555555555556,15.3507745896644
157,1,0.555555555555556,15.3507745896644
158,1,0.555555555555556,15.3507745896644
159,1,0.555555555555556,15.3507745896644
160,1,0.555555555555556,15.3507745896644
161,1,0.555555555555556,15.3507745896644
162,1,0.555555555555556,15.3507745896644
163,1,0.555555555555556,15.3507745896644
164,1,0.555555555555556,15.3507745896644
165,1,0.555555555555556,15.3507745896644
166,1,0.555555555555556,15.3507745896644
167,1,0.555555555555556,15.3507745896644
168,1,0.555555555555556,15.3507745896644
169,1,0.555555555555556,15.3507745896644
170,1,0.555555555555556,15.3507745896644
171,1,0.555555555555556,15.3507745896644
172,1,0.555555555555556,15.3507745896644
173,1,0.555555555555556,15.3507745896644
174,1,0.555555555555556,15.3507745896644
175,1,0.555555555555556,15.3507745896644
176,1,0.555555555555556,15.3507745896644
177,1,0.555555555555556,15.3507745896644
178,1,0.555555555555556,15.3507745896644
179,1,0.555555555555556,15.3507745896644
180,1,0.555555555555556,15.3507745896644
181,1,0.555555555555556,15.3507745896644
182,1,0.555555555555556,15.3507745896644
183,1,0.555555555555556,15.3507745896644
184,1,0.555555555555556,15.3507745896644
185,1,0.555555555555556,15.3507745896644
186,1,0.555555555555556,15.3507745896644
187,1,0.555555555555556,15.3507745896644
188,1,0.555555555555556,15.3507745896644
189,1,0.555555555555556,15.3507745896644
190,1,0.555555555555556,15.3507745896644
