nodes,nTree,accuracy
24,4,0.752173913043478
25,4,0.743478260869565
26,4,0.743478260869565
27,4,0.747787610619469
28,4,0.758771929824562
29,4,0.731277533039648
30,4,0.742081447963801
31,4,0.742081447963801
32,4,0.706666666666667
33,4,0.743362831858407
34,4,0.71875
35,4,0.763392857142857
36,4,0.721973094170404
37,4,0.690582959641256
38,4,0.690582959641256
39,4,0.714912280701754
40,4,0.727272727272727
41,4,0.66079295154185
42,4,0.75
43,4,0.75
44,4,0.713004484304933
45,4,0.713004484304933
46,4,0.713004484304933
47,4,0.690582959641256
48,4,0.690582959641256
49,4,0.736607142857143
50,4,0.736607142857143
51,4,0.73394495412844
52,4,0.73394495412844
53,4,0.77027027027027
54,4,0.77027027027027
55,4,0.72
56,4,0.72
57,4,0.72
58,4,0.782978723404255
59,4,0.774468085106383
60,4,0.774468085106383
61,4,0.774468085106383
62,4,0.719298245614035
63,4,0.719298245614035
64,4,0.722727272727273
65,4,0.722727272727273
66,4,0.722727272727273
67,4,0.722727272727273
68,4,0.722727272727273
69,4,0.722727272727273
70,4,0.722727272727273
71,4,0.722727272727273
72,4,0.706666666666667
73,4,0.706666666666667
74,4,0.706666666666667
75,4,0.706666666666667
76,4,0.728888888888889
77,4,0.728888888888889
78,4,0.728888888888889
79,4,0.728888888888889
80,4,0.728888888888889
81,4,0.766816143497758
82,4,0.766816143497758
83,4,0.763157894736842
84,4,0.763157894736842
85,4,0.778723404255319
86,4,0.778723404255319
87,4,0.778723404255319
88,4,0.778723404255319
89,4,0.778723404255319
90,4,0.753303964757709
91,4,0.753303964757709
92,4,0.753303964757709
93,4,0.748898678414097
94,4,0.748898678414097
95,4,0.748898678414097
96,4,0.748898678414097
97,4,0.748898678414097
98,4,0.748898678414097
99,4,0.748898678414097
100,4,0.748898678414097
1,5,0.784810126582278
2,5,0.758474576271186
3,5,0.735537190082645
4,5,0.733050847457627
5,5,0.774193548387097
6,5,0.7875
7,5,0.740890688259109
8,5,0.746987951807229
9,5,0.736625514403292
10,5,0.708502024291498
11,5,0.79253112033195
12,5,0.752
13,5,0.779591836734694
14,5,0.73469387755102
15,5,0.764957264957265
16,5,0.756410256410256
